_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan
67d7c107380fe7c6439a2470,TE9702814,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-23T00:00:00,shipment manifested,2024-10-23T00:00:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a25c7,9733961553,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-24T12:20:00,shipment manifested,2024-10-24T14:20:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a2ca7,130a2f45-5df3-498f-ba19-76a9d1985d8a-45822,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-24T12:20:00,shipment manifested,2024-10-24T14:20:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a3156,daca4419-ead8-401b-bb2d-32a30ea64c65-90167,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-31T14:03:00,shipment manifested,2024-10-31T15:31:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a4248,9732956900,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-21T16:34:00,shipment manifested,2024-10-22T10:07:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a45a9,93ea8a00-c241-4917-874d-3534754d26b6-15628,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-31T08:25:00,shipment manifested,2024-10-31T12:42:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a45fb,64e07fe0-e009-48cb-80a0-42adb49f7574-49119,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-21T16:34:00,shipment manifested,2024-10-22T10:07:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a4743,TF2150997,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-29T00:00:00,shipment manifested,2024-10-29T00:00:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a49c6,93ea8a00-c241-4917-874d-3534754d26b6-10975,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-31T08:25:00,shipment manifested,2024-10-31T12:42:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a4bab,TE9499668,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-23T00:00:00,shipment manifested,2024-10-23T00:00:00,shipment cancelled,,,,,,
67d7c107380fe7c6439a9266,78911da0-634a-4ea5-b813-097462ff9858-39486,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-24T12:42:00,shipment manifested,2024-10-25T16:21:00,shipment manifested,2024-10-25T16:21:00,shipment cancelled,,,,
67d7c107380fe7c6439ab4d9,3dc78c7b-ff16-4584-81f3-d55710f8fa24-33599,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-29T14:33:00,shipment manifested,2024-10-29T16:52:00,shipment manifested,2024-10-29T16:52:00,shipment cancelled,,,,
67d7c107380fe7c6439ab549,9741941180,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-31T09:52:00,shipment manifested,2024-10-31T12:41:00,shipment manifested,2024-10-31T12:41:00,shipment cancelled,,,,
67d7c107380fe7c6439ab5c8,ca52435c-efba-4297-9f83-645101db398a-28059,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-29T15:04:00,shipment manifested,2024-10-30T11:11:00,shipment manifested,2024-10-30T11:11:00,shipment cancelled,,,,
67d7c107380fe7c6439ab61b,9737610484,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-27T22:17:00,shipment manifested,2024-10-28T11:39:00,shipment manifested,2024-10-28T11:39:00,shipment cancelled,,,,
67d7c107380fe7c6439ab86e,9733752364,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-23T18:02:00,shipment manifested,2024-10-24T12:35:00,shipment manifested,2024-10-24T12:35:00,shipment cancelled,,,,
67d7c107380fe7c6439abb71,d08eba13-f55e-4f48-a521-b74a9cfc7d2c-18807,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-31T09:52:00,shipment manifested,2024-10-31T12:41:00,shipment manifested,2024-10-31T12:41:00,shipment cancelled,,,,
67d7c107380fe7c6439ac336,9733747313,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-23T17:33:00,shipment manifested,2024-10-24T12:32:00,shipment manifested,2024-10-24T12:32:00,shipment cancelled,,,,
67d7c107380fe7c6439ac8a6,277f7324-ab6c-4587-b1f5-3cedbfd2b068-21419,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-23T17:33:00,shipment manifested,2024-10-24T12:32:00,shipment manifested,2024-10-24T12:32:00,shipment cancelled,,,,
67d7c107380fe7c6439acd6c,33cafbe9-4f65-4b78-bebc-d0cc7c8ae0d0-92769,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-23T18:02:00,shipment manifested,2024-10-24T12:35:00,shipment manifested,2024-10-24T12:35:00,shipment cancelled,,,,
67d7c107380fe7c6439bc08d,TF2689897,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-10-30T00:00:00,unmatched,2024-10-30T00:00:00,unmatched,2024-10-30T00:00:00,unmatched,2024-10-30T00:00:00,shipment manifested,2024-10-30T00:00:00,shipment cancelled
